freq	A0	A1	s	E1	E2	tan	N
610.000	116.795	855.509	0.006	93.676	0.516	0.006	5.010
620.000	91.619	850.014	0.008	93.073	0.722	0.008	5.010
630.000	123.474	833.958	0.026	91.285	2.342	0.026	5.010
640.000	163.401	844.554	0.011	92.472	1.067	0.011	5.010
650.000	63.917	840.318	0.024	91.984	2.229	0.024	5.010
660.000	-23.185	844.091	0.012	92.420	1.090	0.012	5.010
670.000	161.871	818.870	0.033	89.615	2.988	0.033	5.010
680.000	92.533	816.318	0.010	89.382	0.895	0.010	5.010
690.000	132.213	802.472	0.005	87.866	0.770	0.005	5.010
700.000	7.659	798.826	0.022	87.446	1.906	0.022	5.010
710.000	55.617	779.744	0.045	85.293	3.869	0.045	5.010
720.000	4.945	785.891	0.038	85.986	3.269	0.038	5.010
730.000	172.841	794.965	0.022	87.026	1.947	0.022	5.010
740.000	95.736	801.151	0.013	87.717	1.119	0.013	5.010
750.000	114.605	790.883	0.026	86.570	2.226	0.026	5.010
760.000	96.285	771.840	0.014	84.508	1.175	0.014	5.010
770.000	68.179	766.004	-0.004	83.870	1.037	-0.004	5.010
780.000	53.063	804.369	0.021	88.059	1.805	0.021	5.010
790.000	-78.548	749.713	0.037	82.025	3.053	0.037	5.010
800.000	-104.933	737.703	0.035	80.729	2.804	0.035	5.010
810.000	-34.408	709.857	0.081	77.391	6.201	0.082	5.010
820.000	-126.598	734.741	0.084	80.161	6.710	0.084	5.010
830.000	-151.917	693.693	0.075	75.721	5.683	0.075	5.010
840.000	168.866	718.744	0.055	78.585	4.305	0.055	5.010
850.000	-33.618	638.919	0.092	69.593	6.102	0.092	5.010
860.000	-62.422	694.491	0.057	75.911	4.337	0.057	5.010
870.000	-8.370	688.618	0.064	75.247	4.801	0.064	5.010
880.000	126.467	657.632	0.086	71.735	6.226	0.087	5.010
890.000	-21.410	650.803	0.096	70.878	6.954	0.096	5.010
900.000	-261.481	626.512	0.151	67.817	10.311	0.152	5.010
910.000	192.185	582.655	0.189	62.659	11.977	0.191	5.010
920.000	-70.671	595.696	0.204	63.875	13.111	0.207	5.010
930.000	-17.406	591.211	0.115	64.298	7.454	0.116	5.010
940.000	-85.397	622.563	0.166	67.192	11.207	0.168	5.010
950.000	29.967	625.882	0.123	68.015	8.390	0.123	5.010
960.000	-54.880	520.111	0.241	55.295	13.634	0.246	5.010
970.000	-32.207	493.299	0.255	52.269	13.593	0.261	5.010
980.000	13.794	488.813	0.268	51.518	14.026	0.277	5.010
990.000	-81.497	448.989	0.357	45.699	17.015	0.381	5.010
1000.000	-52.027	459.340	0.511	43.861	24.619	0.561	5.010
1010.000	34.391	466.616	0.318	48.533	15.976	0.329	5.010
1020.000	6.116	393.864	0.409	39.578	17.136	0.433	5.010
1030.000	-25.925	444.895	0.535	41.912	24.832	0.593	5.010
1040.000	92.648	394.746	0.514	37.631	21.267	0.565	5.010
1050.000	19.666	395.523	0.442	39.153	18.515	0.473	5.010
1060.000	-60.203	359.259	0.563	33.275	20.984	0.631	5.010
1070.000	16.915	370.614	0.567	34.236	21.791	0.636	5.010
1080.000	-24.815	361.763	0.504	34.689	19.128	0.551	5.010
1090.000	-39.989	323.564	0.710	26.861	23.104	0.860	5.010
1100.000	-42.880	305.238	0.826	22.661	24.569	1.084	5.010
1110.000	-32.696	349.647	0.650	30.473	23.178	0.761	5.010
1120.000	-33.143	264.716	0.706	22.064	18.799	0.852	5.010
1130.000	-12.823	248.422	1.067	13.137	23.820	1.813	5.010
1140.000	-61.125	203.827	1.129	9.541	20.177	2.115	5.010
1150.000	-42.875	219.753	0.855	15.795	18.153	1.149	5.010
1160.000	8.397	176.029	1.254	5.996	18.319	3.055	5.010
1170.000	-14.443	198.139	1.344	4.880	21.140	4.332	5.010
1180.000	-48.460	235.571	0.933	15.352	20.729	1.350	5.010
1190.000	-17.578	154.062	1.046	8.455	14.598	1.726	5.010
1200.000	35.666	155.523	1.315	4.316	16.474	3.817	5.010
1210.000	-9.286	114.682	1.268	3.740	11.988	3.206	5.010
1220.000	3.562	186.231	1.436	2.735	20.208	7.389	5.010
1230.000	-18.601	186.227	1.483	1.790	20.313	11.348	5.010
1240.000	-5.986	126.284	1.001	7.464	11.640	1.560	5.010
1250.000	14.790	152.917	1.306	4.377	16.162	3.692	5.010
1260.000	-35.730	127.661	1.026	7.239	11.958	1.652	5.010
1270.000	1.740	153.327	1.201	6.069	15.654	2.579	5.010
1280.000	-11.616	89.093	1.502	0.672	9.732	14.483	5.010
1290.000	-11.932	143.816	0.961	9.014	12.913	1.432	5.010
1300.000	1.839	121.632	-1.522	0.644	13.303	-20.642	5.010
1310.000	18.595	93.274	1.466	1.065	10.158	9.534	5.010
1320.000	-6.185	98.970	1.444	1.373	10.750	7.829	5.010
1330.000	-0.315	99.329	1.346	2.427	10.602	4.368	5.010
1340.000	-9.221	132.839	1.092	6.707	12.907	1.924	5.010
1350.000	-32.070	79.582	-1.216	3.027	8.172	-2.700	5.010
1360.000	-8.827	86.407	1.385	1.749	9.299	5.317	5.010
1370.000	-8.743	62.047	1.328	1.632	6.595	4.041	5.010
1380.000	4.333	64.650	1.156	2.855	6.478	2.269	5.010
1390.000	-5.209	91.720	1.302	2.671	9.682	3.625	5.010
1400.000	20.126	75.224	1.337	1.910	8.013	4.196	5.010
1410.000	-1.623	72.525	1.409	1.281	7.838	6.118	5.010
1420.000	-16.062	110.268	-1.100	5.478	10.760	-1.964	5.010
1430.000	-1.565	36.557	-1.461	0.439	3.979	-9.066	5.010
1440.000	5.635	58.834	1.563	0.051	6.442	125.781	5.010
1450.000	11.558	56.971	0.756	4.540	4.279	0.943	5.010
1460.000	-20.101	23.061	-1.089	1.170	2.238	-1.913	5.010
1470.000	8.845	52.720	0.330	5.460	1.873	0.343	5.010
1480.000	16.175	90.122	1.454	1.153	9.801	8.501	5.010
1490.000	-14.892	78.440	1.566	0.040	8.589	215.199	5.010
1500.000	2.295	38.543	0.014	4.220	0.059	0.014	5.010
1510.000	-27.634	-24.356	-1.345	0.596	2.599	-4.360	5.010
1520.000	7.220	55.208	-1.220	2.079	5.676	-2.730	5.010
1530.000	-1.746	12.181	0.374	1.242	0.488	0.393	5.010
1540.000	3.082	51.674	1.262	1.722	5.390	3.130	5.010
1550.000	27.864	-37.898	-0.944	2.433	3.362	-1.381	5.010
1560.000	17.808	43.428	-0.801	3.308	3.416	-1.033	5.010
1570.000	-11.634	37.708	-1.566	0.021	4.129	-197.536	5.010
1580.000	-22.529	84.626	-1.425	1.346	9.168	-6.813	5.010
1590.000	-6.281	70.588	-0.568	6.517	4.156	-0.638	5.010
1600.000	-1.737	62.976	0.489	6.089	3.237	0.532	5.010
1610.000	0.527	-74.666	-0.495	7.193	3.886	-0.540	5.010
1620.000	16.770	72.494	-0.983	4.401	6.607	-1.501	5.010
1630.000	-0.816	33.749	-1.240	1.202	3.494	-2.907	5.010
1640.000	-8.622	41.905	1.018	2.411	3.904	1.620	5.010
1650.000	31.922	-20.147	0.282	2.119	0.615	0.290	5.010
1660.000	17.829	38.004	1.395	0.728	4.097	5.626	5.010
1670.000	20.594	55.269	-1.000	3.268	5.094	-1.559	5.010
1680.000	5.985	8.456	-0.700	0.708	0.597	-0.842	5.010
1690.000	-8.366	19.886	1.304	0.575	2.100	3.655	5.010
1700.000	0.046	59.998	1.283	1.863	6.300	3.383	5.010
1710.000	0.853	36.806	0.464	3.604	1.803	0.500	5.010
1720.000	-17.241	25.255	-1.425	0.402	2.736	-6.803	5.010
1730.000	7.079	27.773	1.278	0.878	2.912	3.315	5.010
1740.000	-0.577	27.265	1.566	0.013	2.986	227.453	5.010
1750.000	-16.308	14.679	0.462	1.439	0.716	0.498	5.010
1760.000	-12.903	47.115	0.542	4.421	2.660	0.602	4.140
