# Cluster list (24 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
1 1228 52.1617492347 1830.8916230645 841.4199238191 48.5365363396 -163.6350779431 237.695267746 63.9289938436 
2 737 42.2300044031 1297.8836935136 434.2176010115 51.2719773606 154.5530708509 -233.0585471952 -57.5168822162 
3 34 6.8478196506 25.9031677344 19.5493454715 1.4401207612 5.4432175112 -4.3439306747 -3.4662168166 
4 22 7.5527490688 43.4120959609 11.3715016677 2.2604208678 -9.0978306973 6.8766285394 0.4148808698 
5 16 5.8926656233 7.4056020425 26.7038221211 0.6140839844 5.6207490371 0.6511386133 1.5050461328 
6 15 6.4667456166 23.3660635822 14.6016446206 3.8510906667 -2.1108411964 -7.5677834667 -2.7009377067 
7 8 3.3051214898 3.8463386875 6.5529159373 0.5245734375 0.3220500969 1.3848784375 0.3503167344 
8 8 3.4056515999 6.35380972 4.8449781 0.399675 3.711495658 1.452895275 1.10991025 
9 7 3.2363544873 5.3237606939 4.3889439592 0.7612857143 0.4638753469 -1.3742771429 -0.7182157143 
10 7 3.0557834113 5.0602629506 4.060039102 0.2175102041 0.4066492837 0.4130518776 0.4883104082 
11 6 2.7852801182 3.3798217914 4.2003302122 0.1776333333 2.6373810239 0.3586733333 0.7385653333 
12 6 3.0076700515 4.6098513333 4.3030028056 0.133225 -3.1473053333 0.6871733333 -0.6323625 
13 5 2.1125906755 2.63609824 1.6990451224 0.127896 -0.856839804 0.5126352 -0.21602452 
14 4 1.8386299682 2.3806836875 0.8999577225 0.09991875 -0.0455893875 -0.406929375 0.005721375 
15 4 1.8111798468 1.7852625 1.3951911875 0.09991875 0.64827 0.173375 -0.205358125 
16 3 1.4804604141 1.1361001489 0.9372406667 0.1184222222 -0.0845364333 -0.1283502222 -0.30149 
17 3 2.001587616 3.0093086667 0.8786220956 0.1184222222 1.3081089333 -0.46866 -0.3224004444 
18 2 1.4458735249 1.68350625 0.407044 0.0 -0.827805 0.0 0.0 
19 2 1.1905860784 1.25753796 0.02673225 0.133225 -0.1833489 -0.409311 0.0596775 
20 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
21 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
22 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
23 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
24 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
