freq	A0	A1	s	E1	E2	tan	N
210.000	39.700	903.982	-0.003	98.986	0.310	-0.003	5.000
220.000	39.553	904.250	0.001	99.015	0.055	0.001	5.000
230.000	40.210	902.567	0.005	98.830	0.463	0.005	5.000
240.000	41.775	898.139	0.002	98.346	0.166	0.002	5.000
250.000	45.437	892.285	0.002	97.705	0.221	0.002	5.000
260.000	40.715	896.609	0.001	98.179	0.066	0.001	5.000
270.000	45.946	891.893	0.006	97.661	0.551	0.006	5.000
280.000	41.924	891.712	0.006	97.641	0.613	0.006	5.000
290.000	45.947	890.599	-0.001	97.520	0.081	-0.001	5.000
300.000	41.755	889.725	-0.000	97.425	0.028	-0.000	5.000
310.000	44.097	884.318	0.002	96.833	0.166	0.002	5.000
320.000	40.005	892.431	0.000	97.721	0.021	0.000	5.000
330.000	43.318	885.013	0.004	96.908	0.398	0.004	5.000
340.000	45.751	881.020	0.000	96.472	0.014	0.000	5.000
350.000	45.486	883.547	-0.001	96.748	0.078	-0.001	5.000
360.000	43.527	880.157	0.001	96.377	0.051	0.001	5.000
370.000	46.444	875.982	0.002	95.920	0.215	0.002	5.000
380.000	44.255	877.025	0.005	96.033	0.475	0.005	5.000
390.000	45.734	871.989	0.001	95.483	0.057	0.001	5.000
400.000	42.809	879.534	0.002	96.309	0.168	0.002	5.000
410.000	44.712	872.348	-0.002	95.522	0.168	-0.002	5.000
420.000	47.110	872.486	-0.001	95.537	0.115	-0.001	5.000
430.000	47.093	867.924	0.003	95.037	0.245	0.003	5.000
440.000	36.967	875.213	0.001	95.836	0.106	0.001	5.000
450.000	45.442	870.407	-0.001	95.309	0.254	-0.001	5.000
460.000	44.935	869.000	-0.002	95.155	0.217	-0.002	5.000
470.000	52.344	862.268	0.002	94.418	0.192	0.002	5.000
480.000	47.802	864.634	-0.003	94.677	0.249	-0.003	5.000
490.000	62.419	861.017	-0.004	94.281	0.349	-0.004	5.000
500.000	50.481	858.162	0.004	93.968	0.402	0.004	5.000
510.000	49.123	856.472	0.001	93.784	0.187	0.001	5.000
520.000	47.082	857.651	-0.004	93.912	0.395	-0.004	5.000
530.000	50.067	846.344	0.002	92.674	0.279	0.002	5.000
540.000	41.489	863.930	0.003	94.600	0.243	0.003	5.000
550.000	60.166	856.034	0.004	93.734	0.340	0.004	5.000
560.000	38.896	851.217	0.008	93.204	0.737	0.008	5.000
570.000	44.648	846.518	0.011	92.687	1.054	0.011	5.000
580.000	62.723	846.190	0.011	92.652	0.994	0.011	5.000
590.000	43.949	844.335	0.008	92.451	0.694	0.008	5.000
600.000	108.902	843.177	-0.000	92.326	0.578	-0.000	5.000
610.000	115.125	845.682	0.008	92.599	0.746	0.008	5.000
620.000	89.428	839.716	0.007	91.946	0.627	0.007	5.000
630.000	113.099	807.803	0.012	88.440	1.118	0.012	5.000
640.000	110.186	808.068	0.024	88.426	2.135	0.024	5.000
650.000	92.098	793.401	0.025	86.845	2.201	0.025	5.000
660.000	-8.856	805.802	0.031	88.184	2.716	0.031	5.000
670.000	96.172	777.315	0.042	85.039	3.579	0.042	5.000
680.000	84.742	765.987	0.052	83.763	4.333	0.052	5.000
690.000	104.651	787.072	0.027	86.152	2.355	0.027	5.000
700.000	53.440	728.710	0.080	79.529	6.365	0.080	5.000
710.000	-32.619	690.983	0.099	75.215	7.239	0.099	5.000
720.000	98.051	708.030	0.075	77.310	5.788	0.075	5.000
730.000	157.870	708.829	0.070	77.341	5.251	0.070	5.000
740.000	163.649	724.196	0.096	78.936	7.580	0.096	5.000
750.000	186.619	719.615	0.072	78.574	5.581	0.072	5.000
760.000	134.128	708.317	0.069	77.368	5.287	0.069	5.000
770.000	76.878	647.959	0.188	69.676	13.274	0.191	5.000
780.000	57.343	646.305	0.153	69.850	10.526	0.155	5.000
790.000	27.368	590.427	0.243	62.639	15.608	0.249	5.000
800.000	-45.958	536.721	0.298	56.125	17.192	0.308	5.000
810.000	-5.326	485.906	0.403	48.848	20.855	0.429	5.000
820.000	-42.404	476.232	0.357	48.841	18.235	0.373	5.000
830.000	-18.817	457.487	0.396	46.162	19.174	0.420	5.000
840.000	43.636	438.703	0.441	43.418	20.372	0.474	5.000
850.000	-9.377	317.773	0.558	29.616	18.027	0.630	5.000
860.000	-26.002	313.479	0.623	27.848	19.765	0.729	5.000
870.000	27.904	339.434	0.592	30.628	20.561	0.687	5.000
880.000	37.195	283.522	0.759	22.595	20.616	1.022	5.000
890.000	-18.319	268.550	0.645	23.554	17.484	0.759	5.000
900.000	-6.456	223.320	0.843	16.042	18.253	1.158	5.000
910.000	13.580	175.738	1.029	9.762	16.451	1.752	5.000
920.000	-13.014	181.025	0.977	10.752	16.311	1.666	5.000
930.000	-18.144	139.769	0.883	9.874	11.594	1.244	5.000
940.000	20.011	107.432	1.126	4.993	10.630	2.130	5.000
950.000	9.429	89.206	1.081	4.589	8.556	2.008	5.000
960.000	-15.683	87.473	0.221	3.291	8.808	-12.709	5.000
970.000	-5.944	51.339	0.315	1.561	5.243	0.954	5.000
980.000	-5.183	33.447	0.099	1.528	2.993	-0.190	5.000
990.000	4.545	37.614	0.179	1.762	3.643	-3.558	5.000
1000.000	6.443	37.632	0.413	0.870	4.000	1.735	5.000
1010.000	13.444	43.093	1.328	0.646	4.566	72.564	5.000
1020.000	-4.995	19.345	1.293	0.608	2.027	3.603	5.000
1030.000	2.071	1.208	0.542	1.577	1.001	0.709	5.000
1040.000	-2.014	18.879	0.127	0.893	1.846	0.813	5.000
1050.000	-4.850	5.815	0.014	1.402	0.049	0.014	5.000
1060.000	-9.349	8.685	0.666	0.797	0.337	1.245	4.225
1070.000	-3.918	13.387	-0.427	1.277	0.691	-0.468	5.000
1080.000	1.860	-7.415	-1.042	0.410	0.701	-1.711	5.000
1090.000	9.666	8.847	-0.223	0.579	0.748	-0.599	5.000
1110.000	14.307	17.747	1.349	0.428	1.896	4.430	5.000
1130.000	0.742	2.465	-0.485	0.239	0.126	-0.527	3.410
