T	sigma	sigma_std	fp	fp_std	p	p_std	Sm	Sm_std
210	126.90727	0.01594	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
220	126.90874	0.01779	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
230	126.90636	0.00245	1.00000	0.00000	7199.80000	0.40000	7199.80000	0.40000
240	126.89760	0.01039	1.00000	0.00000	7199.20000	0.97980	7199.20000	0.97980
250	126.88731	0.03019	1.00000	0.00000	7199.20000	0.97980	7199.20000	0.97980
260	126.88717	0.03765	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
270	126.88553	0.02464	1.00000	0.00000	7199.40000	0.80000	7199.40000	0.80000
280	126.91332	0.02963	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
290	126.90110	0.02040	1.00000	0.00000	7199.20000	0.97980	7199.20000	0.97980
300	126.92205	0.02832	1.00000	0.00000	7199.20000	0.74833	7199.20000	0.74833
310	126.89216	0.01583	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
320	126.91000	0.02974	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
330	126.92028	0.02354	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
340	126.93211	0.02517	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
350	126.90071	0.01894	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
360	126.92609	0.03408	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
370	126.90330	0.00619	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
380	126.90863	0.02437	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
390	126.92069	0.01168	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
400	126.91594	0.02796	1.00000	0.00000	7199.20000	0.74833	7199.20000	0.74833
410	126.94428	0.02661	1.00000	0.00000	7199.30000	0.84721	7199.30000	0.84721
420	126.92478	0.04185	1.00000	0.00000	7199.20000	0.97980	7199.20000	0.97980
430	126.90854	0.02029	1.00000	0.00000	7199.60000	0.37417	7199.60000	0.37417
440	126.91135	0.02251	1.00000	0.00000	7199.60000	0.80000	7199.60000	0.80000
450	126.89888	0.03527	1.00000	0.00000	7199.20000	0.95726	7199.20000	0.95726
460	126.93757	0.02911	1.00000	0.00000	7198.40000	3.20000	7198.40000	3.20000
470	126.92501	0.02418	1.00000	0.00000	7198.90000	1.74919	7198.90000	1.74919
480	126.90509	0.01329	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
490	126.91242	0.02293	1.00000	0.00000	7199.00000	2.00000	7199.00000	2.00000
500	126.93163	0.03624	1.00000	0.00000	7198.00000	2.75681	7198.00000	2.75681
510	126.92502	0.03592	1.00000	0.00000	7196.60000	4.25347	7196.60000	4.25347
520	126.93197	0.01790	0.99997	0.00006	7198.30000	3.15796	6838.90000	721.95003
530	126.92477	0.04924	0.99992	0.00010	7193.20000	6.23276	5756.05000	1766.22569
540	126.96186	0.04817	0.99997	0.00006	7195.10000	3.95862	6835.65000	721.26533
550	126.93487	0.04168	0.99995	0.00004	7192.73333	4.00444	6474.66667	590.14986
560	126.90648	0.04332	0.99991	0.00017	7192.93333	4.66417	6234.56667	1548.67395
570	126.95303	0.05851	0.99983	0.00034	7184.26667	13.07556	6508.00000	1364.16705
580	126.94064	0.07280	0.99995	0.00007	7181.13333	10.70520	6344.30000	1244.10574
590	126.92681	0.06838	0.99993	0.00011	7183.26667	13.54204	6387.14433	1232.91858
600	126.89268	0.06333	0.99934	0.00064	7177.06667	9.41323	4285.77900	1500.60262
610	126.93651	0.04769	0.99995	0.00009	7186.53333	7.27432	6389.15567	1599.36494
620	126.94307	0.05160	0.99983	0.00023	7174.73333	18.02236	5919.88667	1506.21642
630	126.88641	0.08323	0.99963	0.00022	7160.20000	16.03490	3835.23433	1383.15204
640	126.87559	0.11684	0.99958	0.00035	7153.06667	23.60271	3681.12233	2159.45737
650	127.06367	0.10951	0.99932	0.00053	7150.73333	15.00710	2891.03200	1635.20530
660	127.06423	0.16797	0.99909	0.00092	7117.33333	42.26402	2827.77333	1873.97800
670	127.31595	0.28512	0.99853	0.00083	7078.46667	34.59952	1542.22700	645.30747
680	127.42928	0.41077	0.99821	0.00136	7071.00000	69.10020	1905.88667	1512.02012
690	127.32555	0.28255	0.99820	0.00105	7083.73333	55.38283	1886.75733	1722.29695
700	127.44215	0.42373	0.99671	0.00216	7003.00000	71.60263	1334.42700	986.95749
710	127.43163	0.38810	0.99659	0.00292	6946.06667	94.78809	1061.98000	694.20607
720	127.22936	0.25434	0.99687	0.00133	6972.33333	53.40137	721.42067	206.41227
730	127.60305	0.31377	0.99615	0.00247	6962.40000	48.84615	846.31700	339.79845
740	127.32289	0.27178	0.99587	0.00204	6926.53333	84.11142	726.72900	423.96600
750	127.31456	0.31682	0.99485	0.00301	6887.20000	110.81162	722.39367	535.17611
760	127.07315	0.49945	0.99610	0.00187	6909.73333	102.59945	632.78900	316.22894
770	128.08496	1.27889	0.98716	0.00716	6622.00000	227.85025	247.57467	104.75123
780	127.96073	0.97780	0.98674	0.00581	6598.73333	128.44515	250.75633	85.96989
790	127.94363	1.44969	0.98549	0.00431	6381.40000	102.51693	166.84100	29.38286
800	128.62497	1.74868	0.97776	0.00817	6178.53333	217.75485	110.02167	33.21732
810	129.56992	2.53831	0.96437	0.01009	5819.93333	141.51771	74.68433	9.65778
820	129.65794	2.95867	0.96062	0.01208	5680.60000	230.53348	67.22200	16.68987
830	130.78964	5.51328	0.95519	0.00928	5580.93333	182.90666	57.46733	7.09868
840	129.60185	3.12913	0.94888	0.01314	5286.66667	209.96372	46.44433	9.47812
850	129.85983	10.67874	0.89739	0.03795	4668.73333	217.38487	30.73333	4.13634
860	128.31246	7.01945	0.91390	0.04344	4695.60000	269.41869	30.92600	5.59764
870	115.32931	16.17350	0.82593	0.14049	4412.86667	495.04376	27.84600	7.44624
880	116.03774	17.06981	0.78930	0.14777	3994.20000	289.69730	20.63133	3.75845
890	107.44593	16.47106	0.71445	0.13001	3637.26667	297.88509	17.83600	2.88502
900	78.44714	21.99559	0.49013	0.14381	3190.00000	278.16779	13.52067	1.91550
910	74.25584	20.28012	0.47166	0.13249	2895.60000	484.55156	12.48433	3.45328
920	57.32362	21.73775	0.37238	0.14358	2638.93333	471.86701	10.53433	2.50743
930	56.62402	18.22767	0.38904	0.12314	2386.46667	502.47615	10.15600	2.63346
940	47.78275	22.27782	0.36774	0.12175	1813.00000	676.89670	7.28200	3.13744
950	29.66961	7.13085	0.27591	0.05793	1189.66667	332.41584	4.64833	1.48934
960	27.60483	9.76048	0.25068	0.09977	1177.80000	313.51893	4.65600	1.24871
970	19.16657	4.58154	0.23380	0.07605	654.06667	141.30105	2.86733	0.49426
980	12.43718	5.14843	0.14776	0.05728	488.40000	173.99547	2.26467	0.69739
990	14.55284	7.55909	0.19626	0.09731	426.86667	117.34882	2.11300	0.48093
1000	10.56156	4.05713	0.16118	0.07574	329.46667	61.24594	1.74733	0.23561
1010	9.11709	3.01910	0.13357	0.03451	288.60000	81.59458	1.66300	0.27311
1020	6.00956	3.87574	0.10269	0.07275	227.30000	65.10849	1.49850	0.28571
1030	6.93949	3.35511	0.14166	0.08429	190.80000	45.91751	1.49050	0.25768
1040	5.58705	2.32136	0.12208	0.05886	160.90000	34.56743	1.39800	0.18026
1050	5.57840	2.20694	0.12989	0.04845	150.60000	34.82404	1.34850	0.14912
1060	3.89826	1.85066	0.09763	0.05695	121.00000	16.90093	1.24700	0.11600
1070	4.14133	3.30467	0.10896	0.08093	110.30000	39.87396	1.29250	0.28965
1080	2.71733	1.55735	0.08224	0.04534	85.60000	18.52134	1.18800	0.10995
1090	1.56105	0.46308	0.04686	0.01247	77.60000	8.49145	1.09350	0.02602
1110	3.61461	4.10557	0.12272	0.10885	76.40000	49.12678	1.30900	0.40733
1130	1.34590	1.19761	0.05452	0.02711	53.30000	17.46107	1.08100	0.05748
