T	LC	LC_std	SLC	SLC_std	Rg	Rg_std	Pspan
560	0.00069	0.00041	0.00021	0.00019	2.37450	1.39900	0.00000
570	0.00133	0.00106	0.00051	0.00040	4.47650	2.98900	0.00000
580	0.00128	0.00092	0.00061	0.00038	3.81300	2.36650	0.00000
590	0.00131	0.00103	0.00051	0.00035	3.81300	2.03800	0.00000
600	0.00275	0.00170	0.00089	0.00041	6.40850	2.67450	0.00000
610	0.00089	0.00043	0.00048	0.00026	3.45067	1.67967	0.00000
620	0.00171	0.00068	0.00063	0.00052	5.77500	2.11200	0.00000
630	0.00201	0.00068	0.00140	0.00059	5.87800	1.51000	0.00000
640	0.00298	0.00234	0.00156	0.00066	6.89900	2.99433	0.00000
650	0.00298	0.00145	0.00146	0.00090	6.50633	1.74967	0.00000
660	0.00396	0.00209	0.00218	0.00081	8.62767	2.64467	0.00000
670	0.00762	0.00443	0.00309	0.00071	10.74233	3.44000	0.00000
680	0.00877	0.00713	0.00259	0.00114	11.29533	6.04500	0.00000
690	0.00703	0.00330	0.00245	0.00159	11.98900	5.86133	0.00000
700	0.01219	0.00521	0.00554	0.00334	14.67767	4.50533	0.00000
710	0.01231	0.00570	0.00701	0.00366	15.49100	3.76467	0.00000
720	0.01284	0.00495	0.00638	0.00321	16.61367	3.12967	0.00000
730	0.01395	0.00658	0.00556	0.00211	15.48800	4.63400	0.00000
740	0.01317	0.00639	0.00631	0.00310	14.79100	2.86200	0.00000
750	0.01448	0.00684	0.00643	0.00298	16.02667	4.47633	0.00000
760	0.01368	0.00468	0.00758	0.00359	14.92733	2.87767	0.00000
770	0.03800	0.02428	0.01175	0.00577	25.88267	11.86600	0.00000
780	0.04329	0.01930	0.01316	0.00395	27.86733	7.31967	0.00000
790	0.04492	0.01948	0.02116	0.00957	32.20367	9.08733	0.00000
800	0.05954	0.02029	0.03085	0.01583	30.56267	7.15200	0.00000
810	0.09591	0.03228	0.03933	0.01676	46.26900	13.10000	0.00000
820	0.09420	0.03979	0.05085	0.02485	41.60200	11.35067	0.00000
830	0.14436	0.03769	0.03895	0.01625	58.51433	10.99900	0.00000
840	0.18327	0.06459	0.04335	0.02994	66.03767	17.68333	0.00000
850	0.31098	0.05306	0.02040	0.01682	80.83967	10.50967	0.00000
860	0.30222	0.06732	0.03284	0.03627	75.07167	9.97233	0.00000
870	0.36329	0.07411	0.01004	0.00677	77.96367	5.40567	0.00000
880	0.43060	0.04626	0.00534	0.00673	87.79000	10.25333	0.06667
890	0.48559	0.04148	0.00242	0.00143	86.37867	3.14633	0.00000
900	0.55018	0.03890	0.00145	0.00099	87.37067	2.91067	0.00000
910	0.59151	0.06944	0.00148	0.00119	86.96900	2.40767	0.00000
920	0.62641	0.06836	0.00217	0.00201	86.96633	2.41600	0.00000
930	0.66300	0.07093	0.00120	0.00059	86.14533	2.59500	0.00000
940	0.74510	0.09607	0.00106	0.00094	87.83900	1.90967	0.00000
950	0.83286	0.04711	0.00067	0.00042	88.43233	1.17667	0.00000
960	0.83435	0.04392	0.00053	0.00034	89.12700	0.68300	0.00000
970	0.90855	0.01999	0.00027	0.00021	89.44367	0.41633	0.00000
980	0.93177	0.02440	0.00029	0.00029	89.74300	0.37800	0.00000
990	0.94052	0.01650	0.00015	0.00019	89.39167	0.39467	0.00000
1000	0.95415	0.00854	0.00007	0.00010	89.81967	0.16067	0.00000
1010	0.95976	0.01150	0.00013	0.00020	89.84350	0.20800	0.00000
1020	0.96842	0.00907	0.00002	0.00003	89.73550	0.21900	0.00000
1030	0.97347	0.00639	0.00003	0.00006	89.76350	0.09750	0.00000
1040	0.97765	0.00480	0.00000	0.00000	89.68050	0.11350	0.00000
1050	0.97908	0.00483	0.00000	0.00000	89.72200	0.14200	0.00000
1060	0.98320	0.00235	0.00000	0.00000	89.71750	0.09000	0.00000
1070	0.98466	0.00558	0.00002	0.00003	89.70450	0.10450	0.00000
1080	0.98811	0.00257	0.00000	0.00000	89.63800	0.05800	0.00000
1090	0.98923	0.00118	0.00000	0.00000	89.66300	0.06550	0.00000
1110	0.98936	0.00688	0.00003	0.00006	89.63400	0.11500	0.00000
1130	0.99259	0.00243	0.00000	0.00000	89.60500	0.04600	0.00000
