T	LC	LC_std	SLC	SLC_std	Rg	Rg_std	Pspan
220	1.00000	0.00000	0.00000	0.00000	89.73000	0.01100	0.00000
230	1.00000	0.00000	0.00000	0.00000	89.72600	0.01600	0.00000
240	1.00000	0.00000	0.00000	0.00000	89.73600	0.00900	0.00000
250	1.00000	0.00000	0.00000	0.00000	89.72700	0.01100	0.00000
260	1.00000	0.00000	0.00000	0.00000	89.72900	0.01000	0.00000
270	1.00000	0.00000	0.00000	0.00000	89.73500	0.01400	0.00000
280	0.99997	0.00006	0.00000	0.00000	89.73700	0.02000	0.00000
290	1.00000	0.00000	0.00000	0.00000	89.74100	0.02100	0.00000
300	1.00000	0.00000	0.00000	0.00000	89.73600	0.01000	0.00000
310	0.99994	0.00011	0.00000	0.00000	89.72900	0.02100	0.00000
320	0.99993	0.00006	0.00000	0.00000	89.73600	0.02200	0.00000
330	1.00000	0.00000	0.00000	0.00000	89.72700	0.01600	0.00000
340	0.99986	0.00014	0.00000	0.00000	89.74300	0.01300	0.00000
350	1.00000	0.00000	0.00000	0.00000	89.73400	0.03400	0.00000
360	0.99977	0.00029	0.00000	0.00000	89.74600	0.01700	0.00000
370	0.99997	0.00006	0.00000	0.00000	89.73000	0.01300	0.00000
380	0.99994	0.00007	0.00000	0.00000	89.75150	0.01800	0.00000
390	0.99994	0.00011	0.00000	0.00000	89.74100	0.01800	0.00000
400	1.00000	0.00000	0.00000	0.00000	89.74050	0.01350	0.00000
410	0.99994	0.00011	0.00000	0.00000	89.74600	0.01300	0.00000
420	0.99997	0.00006	0.00000	0.00000	89.73900	0.01700	0.00000
430	1.00000	0.00000	0.00000	0.00000	89.72400	0.02300	0.00000
440	0.99987	0.00018	0.00000	0.00000	89.73450	0.01750	0.00000
450	0.99989	0.00014	0.00000	0.00000	89.75000	0.02500	0.00000
460	0.99994	0.00009	0.00000	0.00000	89.74300	0.01950	0.00000
470	0.99992	0.00017	0.00000	0.00000	89.73900	0.02000	0.00000
480	0.99996	0.00006	0.00000	0.00000	89.74000	0.01750	0.00000
490	1.00000	0.00000	0.00000	0.00000	89.73900	0.02200	0.00000
500	0.99996	0.00006	0.00000	0.00000	89.74550	0.01450	0.00000
510	0.99947	0.00052	0.00000	0.00000	89.74500	0.03300	0.00000
520	0.99986	0.00016	0.00000	0.00000	89.73650	0.01500	0.00000
530	1.00000	0.00000	0.00000	0.00000	89.76100	0.01200	0.00000
540	0.99968	0.00036	0.00000	0.00000	89.74850	0.02800	0.00000
550	0.99867	0.00161	0.00000	0.00000	89.73200	0.03100	0.00000
560	0.99966	0.00020	0.00000	0.00000	89.74700	0.01100	0.00000
570	0.99989	0.00016	0.00000	0.00000	89.74000	0.02000	0.00000
580	0.99964	0.00029	0.00000	0.00000	89.75533	0.01933	0.00000
590	0.99961	0.00059	0.00003	0.00006	89.74300	0.03700	0.00000
600	0.99927	0.00058	0.00002	0.00004	89.73800	0.01667	0.00000
610	0.99948	0.00039	0.00000	0.00000	89.76350	0.01700	0.00000
620	0.99927	0.00069	0.00002	0.00003	89.75775	0.02525	0.00000
