T	sigma	sigma_std	fp	fp_std	p	p_std	Sm	Sm_std
280	0.00000	0.00000	0.20000	0.40000	0.20000	0.40000	0.20000	0.40000
300	0.37570	0.75140	0.20000	0.40000	0.40000	0.80000	0.40000	0.80000
310	0.37144	0.74288	0.20000	0.40000	0.40000	0.80000	0.40000	0.80000
320	0.71434	0.87489	0.60000	0.48990	1.00000	0.89443	1.00000	0.89443
340	0.69330	1.04442	0.60000	0.44495	1.00000	0.94868	1.00000	0.94868
360	1.56857	1.93259	0.38333	0.47103	1.70000	2.08990	1.40000	1.86830
370	0.00000	0.00000	0.20000	0.40000	0.20000	0.40000	0.20000	0.40000
380	0.73253	0.89907	0.40000	0.48990	0.80000	0.97980	0.80000	0.97980
390	0.40438	0.80876	0.20000	0.40000	0.40000	0.80000	0.40000	0.80000
410	0.34340	0.68679	0.20000	0.40000	0.40000	0.80000	0.40000	0.80000
420	0.37562	0.75124	0.20000	0.40000	0.40000	0.80000	0.40000	0.80000
440	0.39444	0.78888	0.30000	0.36742	0.90000	1.26449	0.70000	1.01955
450	0.74324	0.91308	0.40000	0.48990	0.80000	0.97980	0.80000	0.97980
460	0.16853	0.33707	0.30000	0.44495	0.40000	0.64495	0.40000	0.64495
470	0.62227	1.24454	0.20000	0.40000	0.60000	1.20000	0.60000	1.20000
480	0.36510	0.73020	0.40000	0.48990	0.60000	0.80000	0.60000	0.80000
500	0.42924	0.85849	0.40000	0.48990	0.60000	0.80000	0.60000	0.80000
510	2.84836	2.48821	0.54000	0.45431	3.80000	3.70945	2.80000	2.31517
520	0.68276	1.08933	0.46667	0.47103	1.00000	1.16619	0.85000	0.98310
540	1.42714	1.91092	0.36571	0.37511	2.30000	2.64326	1.13350	1.24605
550	4.54002	5.17872	0.74667	0.38736	9.60000	11.56892	8.10000	11.25344
560	1.50347	1.06885	0.62143	0.29822	2.46667	1.45273	1.42233	0.83091
570	0.57872	0.77603	0.25000	0.34495	0.80000	1.20000	0.70000	1.00000
580	1.65756	1.41929	0.66762	0.41439	2.60000	2.06389	2.02233	1.56185
590	1.01517	1.37782	0.41373	0.42469	2.60000	3.84014	1.17500	1.31119
600	2.08627	1.80638	0.67037	0.32971	5.13333	4.05509	2.09767	1.22463
610	2.13185	2.35884	0.70238	0.24234	3.70000	2.80989	2.65000	2.19955
620	1.87408	2.22414	0.52911	0.27953	5.20000	4.82465	2.01425	1.90168
630	3.30305	2.83167	0.62518	0.16623	5.70000	5.06145	3.10000	1.83274
640	4.77679	1.79454	0.52161	0.21424	15.30000	8.54041	3.65525	1.41214
650	4.88867	2.06759	0.50299	0.26741	16.13333	7.79822	4.37867	2.27568
660	4.80868	2.87156	0.49449	0.24005	15.15000	9.07519	4.55150	3.03645
670	8.44655	2.83230	0.56670	0.20021	35.10000	16.26512	5.80050	2.64739
680	6.57686	2.50194	0.65641	0.20122	15.85000	7.51370	4.97900	2.33274
690	6.07966	2.53818	0.62823	0.21098	17.70000	12.54699	4.77400	1.59210
700	9.06981	3.86219	0.45257	0.15201	55.44000	29.36899	6.48580	2.90307
710	8.12969	2.02387	0.39326	0.14230	45.70000	11.74444	6.30800	1.73229
720	7.72044	3.31141	0.40374	0.11115	39.15000	25.34028	4.98500	1.77024
730	10.86947	3.17990	0.49149	0.20957	62.20000	36.93914	11.31600	7.17269
740	8.38922	2.65120	0.36898	0.10963	51.85000	20.71999	5.97400	1.68150
750	8.90832	2.65286	0.41460	0.15701	54.40000	23.45340	7.13100	2.35197
760	8.88475	2.74681	0.51404	0.14760	40.25000	19.14783	6.01325	2.17181
770	9.70675	1.75030	0.42068	0.14000	58.20000	19.37472	8.26750	1.57378
780	16.05410	5.43414	0.40238	0.14478	143.85000	41.09095	11.28200	3.74932
790	15.52835	5.06257	0.28926	0.06563	174.30000	57.38201	9.58500	2.74308
800	12.68535	4.37069	0.26536	0.08374	145.80000	52.00463	7.88260	2.17187
810	19.25700	5.78911	0.27654	0.12014	337.70000	76.33828	12.60300	4.17628
820	22.29487	7.22783	0.28894	0.10188	375.70000	92.90341	12.83150	3.60216
