# Cluster list (40 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
1 299 22.0790999794 290.8177939869 190.196106788 6.4727551258 -11.0978001152 32.0525592626 -7.3265221303 
2 136 16.9310922517 115.6392479875 167.1973737005 3.8252631488 -90.0617971807 -0.7051126992 -8.4820682872 
3 122 20.209178349 158.180937699 228.6478240758 21.5821277681 -128.2810633906 -35.3966863182 64.7195935794 
4 75 10.9963544703 47.2590382046 71.4154880985 2.2452853333 27.3314404646 -6.3218342613 -9.1996682933 
5 75 11.7687031784 78.3958934479 56.1972213923 3.9092596622 27.2884996569 16.2829803623 6.4113367161 
6 53 9.3528195614 26.0365058625 59.5973866963 1.841341189 1.3091351664 -1.5336580655 8.319511659 
7 24 6.9272008246 34.2434910208 12.3964926389 1.3461276042 4.02978125 5.5452701042 -1.2452127083 
8 21 6.2661566226 27.7830523787 9.8406727891 1.6409936508 8.0065762551 6.3694979683 1.9412090476 
9 17 6.3402398001 15.2519024878 24.1944088235 0.7523294118 -13.5921420118 2.0704672235 -1.5224794118 
10 16 5.0971939141 17.5903123762 7.9997249844 0.3913484375 2.3933731813 -0.478651875 -1.4782157813 
11 14 6.7107405192 4.6176132092 38.4778654127 1.9385596939 0.3820669796 -0.5637648469 7.586028898 
12 12 4.3766141546 6.2898005764 12.5577932431 0.3071576389 0.9275312014 -0.6736936806 -0.7582215972 
13 10 3.5983286901 4.6500205544 7.9568928076 0.341056 -3.4487262368 -0.89918772 1.16106354 
14 9 4.3116433105 3.4978180614 14.4871808395 0.6052691358 5.2116728805 1.1283600988 2.8693145679 
15 9 4.1669758156 6.3939856076 10.6144351736 0.3552666667 5.6172520426 -0.8181245185 -0.9565162963 
16 9 3.348913957 4.7686717778 6.2097084691 0.2368444444 0.4267597407 0.5510688889 -0.6419133333 
17 8 3.4526416291 9.4784853594 1.9426551094 0.49959375 0.4950716094 -1.9746728125 0.1485321875 
18 7 3.6989199654 1.6883096967 11.3194175812 0.6742816327 2.8042563349 0.6791249592 2.6379513898 
19 6 2.5491810711 2.8471562167 3.5179429167 0.133225 1.35666675 -0.2677761667 -0.6098541667 
20 4 1.9509011937 2.3643311875 1.34176553 0.09991875 -0.484477675 0.373349375 -0.18792025 
21 4 2.1444725896 2.196325 2.2692126875 0.133225 -0.81165725 -0.05256 -0.48937375 
22 4 1.9341883795 1.6938331875 1.94733275 0.09991875 -0.609511625 0.241712125 -0.33096375 
23 4 1.9208256272 2.5169361525 1.0727161875 0.09991875 0.1525300875 0.400085625 0.082535625 
24 4 1.9176944632 2.1888223669 1.3555046875 0.133225 -0.3282473562 0.282829375 -0.39611625 
25 4 1.895301081 2.1267511875 1.36549625 0.09991875 -0.430444875 -0.082809375 -0.27530125 
26 3 2.2183785811 3.93837578 0.8644055267 0.1184222222 -1.70983505 -0.6199403333 0.218708 
27 3 1.9560353263 0.9105228889 2.5602846422 0.3552666667 0.3584843222 0.1871233333 0.9491216667 
28 3 1.6228924117 1.1738200022 1.3415375556 0.1184222222 0.2789901444 0.3715051111 0.1210988889 
29 2 1.1504396986 0.68973025 0.50055625 0.133225 0.58757875 -0.3031325 -0.2582375 
30 2 1.3310595793 0.01625625 1.7554633537 0.0 -0.1689297225 0.0 0.0 
31 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
32 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
33 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
34 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
35 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
36 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
37 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
38 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
39 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
40 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
