# Cluster list (395 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
1 703 14.635329632 170.8211015521 39.1544675993 4.2173042866 -42.2141819163 14.3968458017 -6.986036114 
2 545 11.6679340883 99.7675160559 34.731610144 1.6415596898 25.8246307835 4.7057425263 3.5758939327 
3 88 4.810636826 5.2274727545 17.4315583247 0.4831955925 -2.3086809885 0.7880607146 -2.2096473275 
4 72 5.2825280546 24.5420630386 2.9451898151 0.4178497944 -1.9437139457 -1.3169782658 -0.0366290249 
5 63 3.8141304157 7.3356987688 6.8566388464 0.3552532125 -0.9165597927 0.6000468986 1.1222124889 
6 53 3.941630912 7.4970854289 7.6241320781 0.4152367392 2.3327321642 -1.1487039546 -1.4220081983 
7 37 3.1603963311 6.961564828 2.6532262871 0.3733138545 0.9297666888 -1.2920808741 -0.0239990304 
8 31 2.5424906973 4.1230424538 2.0799608556 0.2612556366 -1.1297023174 0.8731730828 -0.507834604 
9 30 3.1636278363 3.7110415807 5.9164624689 0.3810370372 1.215516116 -0.2930353543 -1.4255871613 
10 29 2.4295868694 4.6320795733 1.1899566589 0.0808561237 0.5508590191 -0.0192396857 -0.1951874003 
11 25 2.4553344877 2.78632038 2.8530137329 0.3893333335 0.1682899289 -0.3993076815 -0.8052002609 
12 19 1.8637106933 2.0004054909 1.4072687519 0.0657433057 -0.5791853831 -0.1755982183 -0.1475093118 
13 19 2.2163072526 2.192604519 2.6536700132 0.0657433057 1.1520334082 0.1145898117 0.110059916 
14 16 2.3548052624 4.573941355 0.8443435519 0.1268229167 -0.7334733961 -0.6582057162 -0.0157303639 
15 16 2.0525565474 2.5964678744 1.5209475894 0.0955729167 -0.3981104098 -0.3868217137 -0.0275550662 
16 16 1.708688586 1.4039922047 1.4583328125 0.0572916667 -0.6427384357 0.2258641789 0.0058137111 
17 15 2.3955946709 4.9484612627 0.6908570089 0.0995555556 1.001154298 -0.5496107635 -0.173198094 
18 14 1.9555294801 0.5763643167 3.1575951763 0.0901360545 -0.1752412821 0.1255853053 0.148138757 
19 12 1.6867939225 2.2307689124 0.55756038 0.0569444445 0.0383083725 0.2762432268 -0.0397497191 
20 12 1.5703668777 0.9252450256 1.4838626606 0.0569444445 0.1121932256 -0.1869919393 0.0734360676 
21 11 1.9980882332 0.5109391354 3.2863761298 0.1950413224 -0.0618805822 -0.0911190284 -0.7397125057 
22 10 1.5881383915 1.1997889833 1.2797279006 0.0426666667 -1.0114785848 -0.2156703103 0.1943082276 
23 10 1.3555228897 0.6221872789 1.1592550256 0.056 -0.2292669978 0.1396871486 -0.1704350216 
24 10 1.6254876103 2.2200505125 0.3928261255 0.0293333333 -0.3437824171 0.07721696 -0.0818371193 
25 10 1.692770981 0.5789451085 2.2005284856 0.086 -0.523438239 -0.0910396375 0.3200499175 
26 10 1.8334757755 1.1718098721 2.1471568805 0.0426666667 1.3124061345 -0.1489621691 -0.2787437755 
27 9 1.178293936 0.5882893194 0.7786881032 0.021399177 0.1370717769 0.0623013201 -0.057142602 
28 8 1.4082585413 0.1984794598 1.7222126594 0.0625 0.0827591234 -0.0217863382 -0.319270996 
29 8 1.1879447921 0.3946755962 0.9592455661 0.0572916667 0.2370760817 -0.0973846735 -0.2073333051 
30 8 1.4647787992 0.6479659756 1.397610955 0.1 -0.6554323291 -0.2441686849 0.3143184185 
31 7 1.160161528 1.0258409954 0.2874807143 0.0326530612 0.3081121949 0.1022571937 0.060636165 
32 7 1.023198096 0.4227055049 0.5589227163 0.0653061225 0.1495234851 -0.1516944824 -0.1259652265 
33 7 1.2195371704 1.1313150927 0.3178605792 0.0380952381 0.1801873761 0.0434290533 0.0865777763 
34 7 1.3488288018 0.782834431 1.0092938212 0.0272108844 0.6528030194 0.1056976676 0.1021577081 
35 7 1.137582688 0.9714467992 0.2954366886 0.0272108844 0.1050164186 0.0091354983 -0.0556418608 
36 6 1.1081734469 0.8297732814 0.3760528847 0.0222222222 0.2610629303 0.0896165313 0.0142611853 
37 6 1.4771673063 0.4963779025 1.6486083114 0.0370370371 -0.7262852908 -0.078143894 0.0441118459 
38 6 0.9352271344 0.4322305167 0.4276044614 0.0148148148 -0.0281115417 -0.0515752282 0.0076010884 
39 5 0.9621824193 0.4468900104 0.4629049976 0.016 -0.2142772368 0.0132776197 0.0094170299 
40 5 1.1999753043 0.9789344786 0.4343395856 0.0266666667 0.4594425873 0.1075057514 0.0464861281 
41 5 0.9947113885 0.4807354464 0.4660486333 0.0426666667 0.3692544425 -0.1313550704 -0.1223638065 
42 5 0.8053948865 0.3188052616 0.3138556616 0.016 -0.1578580344 0.061733289 -0.0420936486 
43 5 0.8256403374 0.2355911736 0.4194241264 0.0266666667 -0.1211451488 -0.00745162 -0.0923474149 
44 5 1.0526333863 1.0004363803 0.0916006656 0.016 0.0513391035 -0.1104586211 -0.0121838892 
45 5 1.105125629 0.1963534575 1.0089491985 0.016 0.241928292 -0.0348419779 -0.0246665662 
46 5 1.0576689035 0.4018948104 0.6474353656 0.0693333334 0.4450386288 0.1654961932 0.1957116601 
47 5 0.8377578035 0.296468816 0.368035988 0.0373333333 -0.110698256 0.0504882109 -0.1156008069 
48 5 1.259492697 0.9675309227 0.4854575976 0.1333333334 0.5564592524 -0.352560141 -0.2285938051 
49 5 0.9039195886 0.6355541144 0.1708498416 0.0106666667 -0.0837720848 -0.0121167575 -0.0191852103 
50 4 1.1048053902 1.047072485 0.0901891319 0.0833333334 -0.291265895 0.2947017578 -0.0834337438 
51 4 0.7819322458 0.1741725069 0.4039121969 0.0333333333 -0.1588405806 0.0747163037 -0.0863094339 
52 4 1.0212411422 0.192870342 0.8333964619 0.0166666667 0.3684236818 -0.0207401486 -9.6824583674e-06 
53 4 0.8760994898 0.3674849569 0.3833986925 0.0166666667 0.2261411737 -0.0595116166 -0.0021559607 
54 4 0.8611334291 0.2581702025 0.4500472469 0.0333333333 0.2424130312 -0.0824687254 -0.1005297377 
55 4 0.7784611959 0.2260190619 0.363316105 0.0166666667 -0.1164185975 7.5200426654e-04 -0.0641172393 
56 4 0.7654868082 0.209449485 0.3598539019 0.0166666667 -0.18999967 0.0565391019 -0.0565229645 
57 4 0.9393585382 0.208986155 0.627574975 0.0458333334 -0.2275460275 0.0772531078 -0.1649890906 
58 4 1.1574808321 0.8238574625 0.4325710809 0.0833333334 -0.4630431385 -0.2490586491 0.1771899813 
59 4 0.8238587916 0.3566628519 0.30541379 0.0166666667 -0.1321879375 -0.0512363422 -0.0042215518 
60 4 0.8389652431 0.4503075258 0.20772182 0.0458333334 -0.071640565 0.1372438448 0.0050090585 
61 4 1.0578719579 0.1974177869 0.9091752925 0.0125 0.1548986512 0.0369563298 0.0361898019 
62 4 0.9759051476 0.3056064219 0.5634511019 0.0833333334 -0.3277420281 0.1434133459 -0.2119070563 
63 4 0.9657247202 0.507929115 0.3788617869 0.0458333334 0.38394084 -0.1395629549 -0.1163460335 
64 4 0.8614433569 0.4110482369 0.2977030869 0.0333333333 -0.1847915756 0.0555321262 -0.0955981389 
65 4 1.2768230406 0.01215676 1.6056203169 0.0125 0.041763342 -0.0099755141 0.0354587763 
66 4 0.6934656945 0.1260644225 0.3423302469 0.0125 -0.0820105938 -0.0210787119 0.0521351971 
67 4 1.0492848184 0.2202410519 0.834924245 0.0458333334 0.399171595 0.0958127668 0.1826950795 
68 4 0.7516911747 0.1596755319 0.3720307569 0.0333333333 -0.0094199406 0.0224310286 -0.1071719042 
69 4 0.9163226415 0.238096165 0.555717685 0.0458333334 -0.2353852575 0.0453139052 -0.1508204265 
