# Cluster list (91 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
1 1910 28.0052455165 308.2100948933 435.6817785101 40.4019030345 203.606771798 97.836462749 98.7596158602 
2 77 5.0981602753 12.947423694 12.1869190124 0.8568954858 -9.0829957546 2.6987227238 -3.104474902 
3 69 6.6341165116 8.8809940562 34.1574069433 0.9731008896 11.5825740329 -0.678610379 -4.2543832091 
4 31 2.8435260906 6.0081118213 1.8821767427 0.1953520639 1.2411393952 0.3760167174 0.1523991945 
5 20 3.1460331454 7.5282129546 2.1541449305 0.2151666668 -1.1588373892 0.0937602161 -0.616394143 
6 17 2.2925943087 0.5415770679 4.5455534647 0.1688581316 0.2013210332 -0.154229497 -0.7225756684 
7 14 1.8500139016 2.7807205553 0.5574771392 0.0843537415 0.258404869 0.3815094102 -0.0553349202 
8 8 1.3942261759 1.5453120521 0.3079295775 0.090625 -0.2357493504 0.3621477053 -0.0469357169 
9 8 1.5291390797 0.8109982369 1.3533097548 0.1739583334 0.3632546872 -0.3286169889 -0.2959560396 
10 7 1.5134330686 0.427420062 1.7215629925 0.1414965987 0.5514000767 0.1953026941 0.4789128336 
11 7 1.3652580237 1.5373634963 0.2558176755 0.0707482993 -0.1130237147 0.3039201169 -0.0601171325 
12 6 1.3188713148 0.2117795647 1.4961604989 0.0314814815 -0.3615884078 0.04663574 -0.1165179868 
13 6 1.0391009815 0.1558530992 0.9090629358 0.0148148148 0.1366105292 -0.0105990644 0.0460282554 
14 6 1.2140330279 0.9777301889 0.4202200781 0.075925926 0.3806528356 -0.271196335 -0.1190461842 
15 5 0.9015863028 0.223104128 0.5524204 0.0373333333 0.22393783 0.0482677005 0.1420093894 
16 5 0.8942738489 0.3423652184 0.4413604984 0.016 0.0464575964 -0.0595726807 -0.0219737583 
17 5 1.027081539 0.7924805064 0.193082648 0.0693333334 0.124242362 -0.2282416218 -0.0599899301 
18 5 0.8214526452 0.302476176 0.3456416056 0.0266666667 0.149207712 0.0775836024 0.0321612537 
19 4 0.7172294507 0.1685329325 0.3333851525 0.0125 0.01820815 -0.0387007861 -0.0080590328 
20 4 0.6539004825 0.1821497518 0.2287694225 0.0166666667 -0.0695924395 -0.00640656 0.0599150524 
21 4 0.6261748328 0.176787607 0.1986406475 0.0166666667 0.0031568221 0.0421332176 -0.0354829824 
22 4 0.9106724228 0.3872852525 0.4253723425 0.0166666667 -0.1847975875 -0.0702042781 0.0327267093 
23 4 1.0630618892 0.85186742 0.1948998269 0.0833333334 -0.3197279 -0.2660352261 0.1039863754 
24 4 0.736527693 0.3154516156 0.2145214269 0.0125 -0.1215350334 0.0484732913 -0.0123209283 
25 4 0.6701243022 0.2103699369 0.2220299769 0.0166666667 -0.0222687606 0.0588467545 -0.0107184814 
26 3 0.8821351232 0.0724010156 0.6613169156 0.0444444445 -0.2063951178 -0.0543250464 0.171254717 
27 3 0.682405853 0.3717412067 0.0791217267 0.0148148148 0.1003817367 -0.0669165456 -0.0060676739 
28 3 0.6598562097 0.2705285604 0.1500668422 0.0148148148 0.1506743912 0.0437024572 0.0469893291 
29 3 0.7971232176 0.058642853 0.5323181267 0.0444444445 -0.1759319147 -0.0505605066 0.1536455527 
30 3 0.8977103637 0.4566789956 0.3343900867 0.0148148148 0.3761510267 0.008807451 -0.011713623 
31 3 0.7494769089 0.5353152156 0.0115856067 0.0148148148 -0.07845327 0.0030840423 -0.0015922265 
32 3 0.6458686548 0.3470850756 0.0552464289 0.0148148148 -0.0065939178 0.0608029697 -0.0163038255 
33 3 0.8307908792 0.4186213422 0.2567773279 0.0148148148 -0.3074513403 0.01575587 0.0094163414 
34 3 0.7289003331 0.0112015089 0.4756497422 0.0444444445 -0.0126188756 0.0041483955 -0.1453831882 
35 2 0.4896368271 0.002916 0.2368282225 0.0 0.0262791 0.0 0.0 
36 2 0.5122742332 0.254016 0.00840889 0.0 0.0462168 0.0 0.0 
37 2 0.5566394449 0.0148718025 0.2783090025 0.0166666667 -0.0643347225 -0.0157436773 0.0681064122 
