# Cluster list (1874 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
1 429 6.0714624885 12.1887734241 10.465302749 14.2085805765 1.9728992994 1.2495372968 -5.2528897298 
2 228 4.7152635396 2.9605621206 5.7801585539 13.4929895732 0.4769071878 -0.9642001952 -4.2507632216 
3 183 6.0813351034 13.8187630905 4.1399651984 19.0239083507 -2.0819827143 -13.1254195756 2.1303863443 
4 175 3.4590864778 2.3555137008 2.5848756268 7.024889933 0.2661760163 -0.9786992384 0.0162171151 
5 163 3.4224188493 3.9144548384 4.7243708064 3.0741251353 1.792044798 -0.3975882449 -0.4161774635 
6 112 3.2822208487 1.4297698671 2.710806994 6.6323968383 -0.2046069019 0.4188909198 -1.7726470536 
7 100 3.2810016138 2.7788748626 4.3076465769 3.6784501503 -1.0355339709 -0.1501156303 0.5285471857 
8 92 3.4806895541 4.3880054292 3.3322493681 4.3949449747 1.1325687574 0.7711698844 1.7516172908 
9 70 2.8294976218 2.2570485935 4.1061640865 1.6428441119 -0.0048114996 0.3631380875 -0.9122791416 
10 69 2.363696839 2.7092076917 1.6266279346 1.2512271204 0.7827917266 0.6874795158 0.6218735074 
11 57 3.4520040109 1.6970539258 3.6973505844 6.5219271814 0.3178167915 -2.0495147557 -3.1425576678 
12 54 3.2526204081 2.3323216206 2.6855933671 5.5616245315 -1.4874907293 -1.9909290361 0.3568899222 
13 51 2.4511041238 2.3729130871 2.4002628073 1.2347355315 -0.0706997205 0.0906773821 -0.4378246051 
14 47 2.1245016542 1.8456738132 1.1617033431 1.5061301224 -0.1956949758 0.3351442931 0.3565369149 
15 42 2.4626211785 1.4861610681 3.4073208836 1.171021117 -0.4876461664 -0.5959027822 0.0869008466 
16 39 2.6040640663 2.2843927973 2.162159169 2.3345976952 -1.6913031248 1.306299482 -1.1070239576 
