# Cluster list (688 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
1 1467 15.1620647694 64.4220053075 83.7798780463 81.6863247187 0.1985778188 21.1187754411 -44.266246384 
2 199 6.0747524984 7.0695521618 9.8765819789 19.956483776 -3.4023776016 9.3063560112 -4.7632523266 
3 164 4.8813659244 7.8417291482 6.4498942616 9.5361098786 -2.8851946788 -0.7829342159 -3.8486801908 
4 161 4.6606698008 6.0359150443 6.908777789 8.7771501589 -0.2218920208 1.5484287857 2.6338641542 
5 139 3.9100720692 3.9464531918 5.2640354662 6.0781749285 -0.094005999 0.2206246967 -2.950194351 
6 123 4.216706595 3.2278638596 4.7006305277 9.8521201208 -0.9787476452 1.6075979301 -0.4311202696 
7 113 3.8271528242 3.9472112756 3.3660911454 7.3337963191 0.8848627444 -2.657991833 -0.5804372713 
8 107 4.6079066476 2.0775994762 14.9613450926 4.1938591038 3.0441087291 -1.0373906977 -4.958309157 
9 63 3.1849865396 2.1713147327 3.5170795174 4.4557450071 0.2832187524 0.8918194103 3.0278556929 
10 61 3.1848167891 3.478088356 1.9406608118 4.7243088121 -0.7116477295 2.664829431 -1.6412737463 
11 61 2.8915309506 4.6396884266 1.7062091325 2.0150536792 -1.5462281538 1.2588799806 -1.0409334511 
12 54 2.2797603792 1.3466069483 3.0339484565 0.816751982 -0.4982436387 0.2499676917 0.3361257174 
13 52 3.5377973293 6.617313084 3.0960141902 2.8026826694 -2.643376343 -3.082020762 1.5673640799 
14 52 3.131489643 1.9634238364 1.2458552183 6.5969483298 -0.5612345597 -2.0358128176 1.6790513508 
15 49 2.8258567943 2.7297254866 1.73205184 3.5236892951 -0.1011371059 2.0824168105 -1.0830062511 
16 44 3.1589191942 4.3775721429 3.7777713075 1.8234270248 -3.3562307828 1.8549277988 -1.0621882287 
17 37 2.3410165821 2.19375688 1.5759071223 1.7106946353 0.6358989359 -0.5248658906 -1.0414410566 
18 36 2.1180824155 1.8422522523 1.3743044289 1.2697164377 0.9173309751 -0.2528393242 -0.0220127604 
19 34 2.2214753795 2.5118180745 0.6377815165 1.7853532707 0.1245816062 0.6351902018 0.7018123678 
20 33 2.3139332687 2.1787132105 1.82676511 1.3488088514 0.0054950471 0.3793222273 -1.0219720621 
21 33 3.2368850759 1.6761428982 3.3461988536 5.4550832431 -0.5086464779 2.2417059273 0.4159289199 
22 33 2.5143518622 3.3141369135 1.3463583875 1.6614699861 0.6628370996 -1.5523791486 -0.6760672334 
23 31 2.1621331985 0.8542253971 1.2020596635 2.6185349076 -0.5172204242 0.4702622194 -0.7711703059 
24 28 2.2912410002 3.0116711728 1.2608718901 0.9772422582 0.8792464562 0.5275140468 0.0040080843 
25 28 2.1236426884 1.5440990876 1.4254313424 1.5403278382 0.2760407954 -0.8759627868 0.1579458795 
26 28 2.9695607592 2.8575455696 4.3221625852 1.6385829476 -2.9588881179 -1.5815435911 1.7327785309 
27 28 1.9751053092 1.23803565 1.5892446102 1.0737607221 0.6234003453 0.1952375841 -0.5706401906 
28 27 2.0938151635 1.7333770118 1.2852631447 1.3654217825 0.3892622138 -0.4313894744 -0.2998884714 
29 25 1.685286114 1.4602663464 0.4890900737 0.8908328659 -0.3005716959 0.5136045731 -0.0663098873 
30 23 2.1116963523 2.0825152153 1.1651074199 1.2116388493 -1.1292678784 -0.9565713875 0.8267154075 
31 23 1.9138130746 1.2812368846 1.6222204425 0.7592231573 0.3612144569 -0.0968849888 0.7310877393 
32 23 1.551557606 0.5692390549 0.4114900543 1.4266018955 0.0178892235 0.3442480578 0.2228135839 
33 21 1.6075540325 0.9706594494 0.7070651995 0.9065053186 -0.2313250891 -0.037464859 -0.5017155294 
34 21 2.1007381434 1.1612469119 1.3672962361 1.8845575991 0.3310032655 0.5232668414 1.2125689534 
35 20 1.7994383219 0.7531805439 1.0199702428 1.4648274876 0.3778776234 -0.0059983972 0.5470381131 
36 20 1.7153167001 1.1166200897 0.5300762125 1.2956150794 -0.3254020925 0.3404988583 -0.21998366 
37 20 2.2448138293 2.8279334536 1.1714779321 1.0397777424 -1.1119493696 1.2190463565 -0.4992699439 
38 20 1.6607314056 0.8009218355 0.5721975805 1.3849093854 0.026137116 -0.3211571885 0.173752985 
39 19 1.7816132401 1.6536016578 0.9804262508 0.5401178288 0.7763345907 0.416235494 0.3900853708 
40 19 2.0278641995 2.4662415099 0.5351001718 1.1108915299 0.645430267 1.0708299878 0.1480759217 
41 19 2.0293565921 1.9252309828 0.7800358287 1.4130213662 0.0516340375 1.2836599748 -0.0714005266 
